exp,,min,,old,,koch,
X,Y,X,Y,X,Y,X,Y
0.007160804020100504,-266.1190965092403,0.0027672645930072286,-765.9988232597593,0.0027672645930072286,-650.1976592793528,0.00298565612874499,-790.629083442225
0.011023869346733668,-412.1149897330595,0.00336784131628607,-766.4855872949861,0.00336784131628607,-651.2198637533286,0.003586232852023835,-782.0620364222368
0.015075376884422106,-397.3305954825462,0.003859222271696029,-766.1031298387365,0.003968418039564915,-651.9013334026458,0.004186809575302673,-773.2516073846355
0.019032663316582918,-288.29568788501024,0.005394787757352158,-767.2887479531098,0.004568994762843753,-653.8970659470749,0.004787386298581518,-764.7332367681702
0.023084170854271356,-182.95687885010284,0.005933941861204758,-766.6316165055541,0.005169571486122598,-654.6272119999148,0.005142272544155377,-760.5957424687442
0.02704145728643216,-120.12320328542091,0.0065345185844835965,-767.5564681724845,0.005770148209401436,-656.18485691264,0.007216992133664099,-726.7202107105413
0.031187185929648246,-92.4024640657085,0.0071350953077624416,-767.5564681724845,0.0063707249326802814,-657.1583849830931,0.0076878988825986455,-714.6147947911522
0.03514447236180905,-77.61806981519521,0.007626476263172401,-763.5789106274899,0.0069713016559591195,-657.8398546324104,0.007981362508746266,-701.2957138772645
0.03910175879396985,-59.137577002053376,0.007981362508746266,-750.6008542787583,0.007571878379237965,-657.1583849830931,0.008199754044484024,-689.7837444441554
0.04305904522613066,-20.328542094455997,0.008281650870385682,-738.3214202167753,0.008145156160549581,-645.9044004886543,0.008418145580221782,-681.0828373144802
0.04711055276381909,40.657084188911654,0.008554640290057883,-727.2913471785407,0.011311833428747115,-566.9269357731396,0.011257235544812672,-532.4088754884378
0.0510678391959799,118.27515400410664,0.008827629709730084,-716.368362228056,0.011803214384157074,-555.2543342084059,0.011530224964484873,-520.3168455800171
0.05511934673366835,194.0451745379877,0.009127918071369506,-704.106776180698,0.012267296397599811,-543.6233780111304,0.011803214384157074,-505.9938138434745
0.059076633165829145,256.8788501026694,0.009428206433008929,-691.6310139578404,0.012704079469075334,-532.0391666140633,0.012103502745796496,-490.733761339121
0.06303391959798996,336.34496919917854,0.009728494794648344,-679.2980358519826,0.013086264656616414,-520.8714088915788,0.012294595339567033,-484.5761962935044
0.06708542713567839,428.7474332648869,0.010028783156287767,-667.4291061263743,0.01344115090219028,-509.92037706096926,0.013413851960223058,-437.26620895544556
0.0710427135678392,517.4537987679671,0.01032907151792719,-655.4709363276409,0.01368684137989526,-500.3716892366074,0.013796037147764138,-424.49212991671334
0.07509422110552764,556.2628336755646,0.010656658821533826,-642.6203657976587,0.016405815999830375,-428.19431809320804,0.014014428683501896,-418.4493021079718
0.07914572864321609,530.3901437371662,0.01098424612514047,-629.9482754139265,0.016744322880223907,-416.9194722829741,0.016061849331043404,-346.7895233886968
0.08300879396984925,443.5318275154003,0.011311833428747115,-617.6331453226937,0.017126508067764987,-405.29276561299025,0.01638943663465004,-334.7421135168386
0.0870603015075377,351.1293634496918,0.01161212179038653,-605.4251033192106,0.01756329113924051,-393.10512134050714,0.016744322880223907,-322.07002313310636
0.09101758793969848,293.8398357289527,0.011885111210058731,-594.5021183687261,0.018027373152683247,-381.8385621084917,0.017126508067764987,-308.68401216437496
0.09506909547738694,234.70225872689923,0.012185399571698154,-582.2048362921182,0.018491455166125992,-370.61662291303855,0.017399497487437188,-300.116965144387
0.09902638190954775,170.02053388090337,0.012485687933337576,-569.7647700985106,0.01898283612153595,-358.47997296805556,0.019310423425142588,-261.66260636148604
0.10298366834170854,105.33880903490751,0.012758677353009777,-558.5205208847763,0.01947421707694591,-345.80788258432335,0.019911000148421433,-251.2945324111597
0.107035175879397,33.264887063654896,0.013031666772681978,-547.1691835832921,0.019938299090388654,-333.4481324565279,0.02051157687170027,-240.82910565378802
0.11108668341708543,-24.024640657084092,0.013335854983173856,-534.5354603602502,0.020402381103831392,-321.7130628406069,0.021112153594979116,-230.75309012459752
0.11513819095477389,-60.98562628336754,0.013632243495960816,-522.0867736969938,0.020893762059241358,-309.45742613145717,0.024879407586455488,-181.93065739137023
0.11900125628140702,-72.07392197125273,0.013905232915633017,-510.86632183609277,0.021385143014651317,-297.8562166252234,0.025479984309734326,-176.04081256512836
0.12305276381909548,-77.61806981519521,0.01420552127727244,-498.67612784723497,0.021849225028094055,-286.3293738465936,0.025889468439242627,-172.28056039300282
0.12710427135678393,-94.25051334702243,0.014533108580879077,-486.271757682877,0.022286008099569578,-275.08512463285933,0.033178285944490384,-99.95959385921174
0.13115577889447239,-134.9075975359342,0.014864595733338176,-473.3956899891448,0.022777389054979537,-263.2786629584382,0.03364236795793313,-93.43695578717552
0.13501884422110555,-221.7659137577,0.015170083893447546,-461.73073757353654,0.02335066683629116,-251.63526723581822,0.0374187215967319,-37.03722957225409
0.13907035175879395,-330.80082135523617,0.015433973665797344,-449.07649520442897,0.023951243559570005,-239.80690117981203,0.03803749761465555,-25.387343662497642
