sim 6 d_p,,sim 1 d_p,,sim divided,,theoretical,
X,Y,X,Y,X,Y,X,Y
0.001854855394863117,0.013981170905639217,0.0015979758414607637,0.00988550115157244,0.014050435259893607,0.07476586581202524,0.0,0.2590
0.001441470682108384,0.011118614582881603,0.002446934588539257,0.01688478803964316,0.014965497388000099,0.07802981941457834,0.5,0.2590
0.0024810269800384227,0.016849703753603062,0.003812307574917906,0.024332436856807027,0.015949864666966407,0.08035509527878912,,
0.0026819418106807102,0.019460552664292807,0.004259847165526104,0.027957409779477416,0.01713857496805553,0.08263368601800075,,
0.003235371667528672,0.021532908502717163,0.00483893171329923,0.03067040068255439,0.019216277955739214,0.0843913181433536,,
0.0033913426395099366,0.023793119841968025,0.005353118505440305,0.03383804961054249,0.02067868792739469,0.08654439796518484,,
0.0039447451021337315,0.025886711682960695,0.006147141109180895,0.037355463723366955,0.021352566973242768,0.08872094650525442,,
0.004338741133440377,0.028383260261889198,0.00617078997366699,0.04001756434064618,0.021826559729752545,0.09078848811626905,,
0.004871100359383443,0.03139345557539669,0.006941653657858218,0.04289246684888631,0.022527069176111802,0.09321587578331383,,
0.005403800615464013,0.03413928432631935,0.007730767765530416,0.04701575467705832,0.023238379773710988,0.09606799021051404,,
0.00589026985705858,0.036799130434527205,0.008415720302921467,0.051351574482351114,0.023927333330001396,0.09865572465755021,,
0.006310862511984372,0.03920612785374472,0.009158111440358552,0.05465770408698456,0.024434937122357253,0.10106132888479619,,
0.006794042816071266,0.04184953938418723,0.009544931671542231,0.057118346156719735,0.024857613229161274,0.10331953094156474,,
0.0071382072162011895,0.044485284445325846,0.010000842143610147,0.06000660586503359,0.025539616898735767,0.10579620556993144,,
0.007770182183904753,0.04725392475805207,0.01081990665329062,0.06358354230605717,0.026042765635504478,0.1083562016878089,,
0.008440606901946188,0.05100854581364089,0.011320429608518368,0.06640256962807525,0.02649939939895006,0.11068376592014884,,
0.008894059580994498,0.053602641870405865,0.01176974869481405,0.06912180406618412,0.027188065968130226,0.11349397277504328,,
0.009347336154316058,0.05633325508653836,0.012265791565508874,0.07257143348382575,0.027978480649206564,0.11660905610033037,,
0.00981480740827853,0.05905737587154514,0.01273819322075423,0.07587239679503124,0.02841209208304235,0.11918797184345042,,
0.010544587676329625,0.062254767100049124,0.013645613851162378,0.08066114981263375,0.028868776162409848,0.12147653117311394,,
0.011100479845312386,0.06535093163869227,0.01519541599323751,0.08784944706375214,0.02955745764001133,0.12427518101980789,,
0.011539435948188223,0.0681855495426417,0.01601681875978546,0.09003673693502115,0.030278739409082808,0.12709570012290095,,
0.012227167013931131,0.07172095866211309,0.016434413703896117,0.09271474463115448,0.030930961643535537,0.12956477285406343,,
0.011673947179468389,0.06948579347066508,0.017148487204674795,0.0954778716605956,0.031255964762231164,0.13165822968066565,,
0.0128586187892243,0.07489517773137314,0.01735758340422215,0.09761170953033893,0.032087022362186704,0.13405914949558037,,
0.013371704221741013,0.07745030410660694,0.0179826199841768,0.10016040126152095,0.03373735706734414,0.13567633777652413,,
0.013924094076436064,0.08032886961396324,0.018859550012967657,0.1033918282125817,0.035304048400856894,0.1343909679059008,,
0.01451600009948091,0.08336672862134525,0.01949068358664348,0.10681271717561969,0.035545000169640906,0.13235851997323161,,
0.015227041646664274,0.08642741093091255,0.02032106709301168,0.10973619433944695,0.03605447892892072,0.13001148264050794,,
